Job_Title,Company,Location,Summary,Salary
Data Scientist,Intertrust,,"Experience using Python to manipulate data and draw insights from large data sets.
3+ yrs exp in data science.
Should be strong in communication skills.",
data science engineer,Proton Expert Systems & Solutions,,"We are hiring data science engineer for our company.
Salary: ₹15,000.00 - ₹20,000.00 per month.
Total work: 1 year (Preferred).","₹15,000 - ₹20,000 a month"
Data Scientist,Biz2Credit Inc,,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…",
Senior Data Scientist,PLUTO 7,,"Work experience in building data pipelines to ingest, cleanse and transform data.
Good exposure in exploratory data analysis.
Good in Python/R/SAS programming.",
Data Scientist,DXFactor Solutions Pvt Ltd,,"A group of technology companies/entities spread across:
We work in the following technologies:
Exp Criteria: 3-5 Years.
Total work: 3 years (Preferred).",
"Manager - Data Scientist
new",Michelin,,"The data, its relevance and its source are described and prioritized.
The data are prepared (cleansed, enriched, mapped,agregated, …) and the approach is…",
"Data Scientist /software
new",ANI Calls India Private Limited,,"BI tools for data visualization like Tableau.
5 years of professional experience in a data science.
Experience extracting insights from large data sets using…","₹9,00,000 - ₹16,00,000 a year"
Data Scientist,Adat Science LLC/Getyoteam,,"Strong ability to interpret data and communicate findings.
Required Key Skills and Experience: *.
Preferred Masters or Ph.D. in Applied Math, Economics,…",
"Tech Prog Mgr I - Data Science 1
new",Sitel,,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments.",
Associate Data Scientist,Gap Inc.,,"Transform large amounts of data across a diverse set of subject areas, collaborating with other data platform engineers where optimal to prepare data pipelines…",
Data Scientist DA4AD,Mercedes-Benz Research and Development India Priva...,,"Experience with data visualisation tools like matplotlib, Tableau.
Experience with data visualisation tools like matplotlib, Tableau.",
"Subject Matter Expert (Artificial Intelligence For K-12 Kids...
new",TechoKids,,"Should have an understanding of data science processes.
Develop and implement lesson plans that fulfill the requirements of the artificial intelligence and…","₹4,000 - ₹6,000 a month"
"Data Scientist
new",Banctec Tps India Private Limited,,"Ø Strong problem-solving skills with an emphasis on data transformation.
Ø Knowledge and experience in statistical and data mining techniques: Regression,…","₹5,00,000 - ₹8,00,000 a year"
Data Scientist,DDR INFOSYSTEM,,"Processing, cleansing, and verifying the integrity of data used for analysis.
Managing and designing the reporting environment, including data sources security,…","₹3,69,444 - ₹14,15,503 a year"
Data science/Data analytics/Python,HSBC,,"Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights.",
Data Scientist - CTC 15 to 20 lacs,Doji Ltd,,"Build overall data capability of our organisation by performing complex data processing, building data pipelines and developing data products which can be…","₹15,00,000 - ₹20,00,000 a year"
Data Scientist,Terra Economics & Analytics Lab (TEAL),,"Creating compelling data visualizations and communicating results.
As a Data Scientist at TEAL, you'll be taking the plunge into a rich data lake that includes…",
"Data Scientist - Pune
new",jobs in india,,"Manage large volumes of structured and unstructured data, extract & clean data to make it amenable for analysis.
Total Experience: 5 TO 10 YEARS.","₹5,00,000 a year"
Data Scientist - 1120-CN-200,RELX Group,,"Industry experience in ML and large-scale data mining is a big bonus.
Industry experience in Machine Learning, information clustering and large-scale data…",
Data Scientist II,Honeywell,,"Design and implement architecture/tech stack for data integration, data flow and data storage for DL solutions.
A go-getter attitude with a drive for execution.",
Data Scientist/ Machine Learning Consultant ( UK Location),Imurgence,,"Data wrangling and data cleansing experience.
UK - Work permit / visa will be sponsored by the company.
Over all: 5+ Years IT experience.",
ML Engineer/ Data Scientist,Spotflock,,"Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.
Damn good with their skillset.",
"Jr.Data Scientist, Rider Analytics
new",ANI Calls India Private Limited,,Excellent SQL skills and the ability to use tools such as Python or R to work efficiently at scale with large data sets.,"₹9,00,000 - ₹16,00,000 a year"
Data Science Intern,Virtual Sense Global Technologies,,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Some details are at www.thebreathai.com.","₹12,000 a month"
Data Scientist,Cumulations Technologies,,"Build models and analyze medical data collected from healthcare devices and apps.
Expose this data to mobile and web apps to build feature set.",
"Data Science Internship
new",Quadratyx,,"Demonstrate strong skills in data preprocessing and data wrangling 6.
Visualize data and present insights to business 10.
Have relevant skills and interests.","₹8,000 - ₹15,000 a month"
Data Scientist,KhataBook,,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",
Data Scientist,Profile Enterprises Ltd,,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.","₹4,00,000 - ₹8,00,000 a year"
"Sr.Data Analyst/ Scientist
new",ANI Calls India Private Limited,,"Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…","₹8,00,000 - ₹16,00,000 a year"
"ML Engineer/ Data Scientist Engineer
new",ANI Calls India Private Limited,,"Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.","₹8,00,000 - ₹14,00,000 a year"
Data Scientist,CogniSure,,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Build custom data models and machine-learning algorithms to apply to…",
Data Scientist ( Minimum 1+yr of Exp ),Globussoft,,"\* Develop custom data models and algorithms to apply to data sets.
\* Extending company’s data with third party sources of information when needed.","₹4,00,000 - ₹5,00,000 a year"
Data Scientist,Meesho,,From improving our product usability to identifying new growth opportunities data scientists help all teams within Meesho develop effective solutions.,
Data Scientist,Larsen & Toubro Infotech Limited,,"Must have minimum of 4+ years of industry experience in developing data science models.
""Responsibilities: Passion for learning new technologies and be up to…",
Data Scientist,CoStrategix,,"Strong skills in data-structures and algorithms.
Communicate context, data, solution and implications to the team, senior leaders and stakeholders.",
Data Science Trainer,Elan Academy,,"Trainers should train the students who want to become a Data Scientist.
Job Types: Full-time, Part-time.
Pay: ₹300.00 - ₹1,000.00 per hour.","₹300 - ₹1,000 an hour"
Data Scientist,Spericorn Technology,,"Analyse data for trends and patterns, and Interpret data with a clear objective in mind.
Devise and utilize algorithms and models to mine big data stores,…",
