Job_Title,Company,Location,Summary,Salary
"FS_TC4_OpenShift -Multi Cloud Engineer( GCP) - Senior
new",Ernst & Young,,"Experience of public cloud, private cloud and hybrid cloud.
Experience of public cloud, hybrid cloud and private cloud.
Skill 1 - IBM Cloud or OpenShift.",
"Technical Support Engineer
new",Techexped Private Limited,,"Technical Support Engineer - Job brief*.
We are looking for a Technical Support Engineer to provide enterprise-level assistance to our customers.","₹4,00,000 - ₹9,00,000 a year"
Cloud Engineer,Ellucian,,"Working with cloud solutions built on a world-class infrastructure to powerful analytics that drive successful planning, we lead the industry in building…",
Cloud Engineer - Level 2,Hitachi Vantara,,"Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges.",
Network/Cloud Operations Engineer,Harman International,,"Experience managing complex network and cloud environments in a global footprint.
Supporting network and cloud network environment, incorporating best practices…",
"Python SDET Engineer
new",Niyuj Enterprise Software Solutions,,"Experience testing applications and deploying them to cloud micro service architectures (AWS, OpenShift, Azure, etc.).
Perform manual tests as required.",
"Cloud Operations Engineer
new",Espressif Systems,,It’s highly desirable that the candidate has an earlier experience of working on large-scale cloud product deployments and understand the responsibilities and…,
Engineer (O&M),HFM Solar Power Private Limited,,"Daily/monthly/yearly solar generation monitoring on Portal/cloud based of data-logger.
The candidate should be an electrical engineer with an experience of more…","₹20,000 a month"
Network/Cloud Operations Engineer,Harman International,,"Experience managing complex network and cloud environments in a global footprint.
Supporting network and cloud network environment, incorporating best practices…",
"Python SDET Engineer
new",Niyuj Enterprise Software Solutions,,"Experience testing applications and deploying them to cloud micro service architectures (AWS, OpenShift, Azure, etc.).
Perform manual tests as required.",
"Cloud Operations Engineer
new",Espressif Systems,,It’s highly desirable that the candidate has an earlier experience of working on large-scale cloud product deployments and understand the responsibilities and…,
Engineer (O&M),HFM Solar Power Private Limited,,"Daily/monthly/yearly solar generation monitoring on Portal/cloud based of data-logger.
The candidate should be an electrical engineer with an experience of more…","₹20,000 a month"
Cloud Engineer,WPP IT,,"You'll be a passionate subject matter expert in public cloud services.
Hands experience / knowledge on static and dynamic security scan of cloud workloads and…",
Pre Sales Cloud engineer,Gowra Bits & Bytes,,The candidate should be able to work with networking in virtual cloud environment and in also connecting cloud to on-prem network with VPN / Direct connect etc.,"₹5,00,000 - ₹7,00,000 a year"
"Assistant Manager
new",Vodafone,,The IT Operations Engineer supports in the delivery of tasks and activities that manage customer / business / user needs (regarding IT requirements) and ensure…,
"Junior Backup Engineer
new",Merck KGaA,,"Alongside standard Backup and Archive engineer duties, this opportunity will see you recommend, innovative and where possible, automated approaches for…",
"Cloud/Edge Computing Development Engineer
new",Intel,,"The Data Center Group (DCG) is at the heart of Intel’s transformation from a PC company to a company that runs the cloud and billions of smart, connected…",
Cloud Platform Engineer,Thoucentric,,"Orchestrating and automating cloud-based platforms throughout the company.
Planning, designing, and developing cloud-based applications.",
"Software Engineer, Google VMware Engine, Google Cloud
new",Google,,"We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them.
5 years of relevant work experience.",
"IT Support Engineer
new",KloudScript,,"Manage servers deployed in public/private cloud environments.
Deploy, Image, Troubleshoot end user Laptop computers (Dell), software, and computer peripherals.","₹2,00,000 - ₹4,00,000 a month"
CloudOps Engineer,dinoct,,This individual will lead projects and also be part of the team providing high quality 24/7 remote management services for cloud & dedicated datacenter systems…,
Industrial Engineer -Product Development,Siemens Limited,,"We do this from the macro to the micro level, from physical products, components and systems to connected, cloud-based digital offerings and services.",
Azure Cloud Engineer,Techneplus,,"Define cloud network architecture using Azure virtual networks, VPN and express route to establish connectivity between on premise and cloud.","₹14,00,000 - ₹16,00,000 a year"
"System Engineer
new",Sectona Technologies Pvt. Ltd.,,Sectona is a Privileged Access Management company that helps enterprises mitigate risk of targeted attacks to privileged accounts spread across data centers and…,"₹1,00,000 - ₹1,80,000 a year"
"Customer Engineer
new",Microsoft,,"Working knowledge of cloud technologies Azure IaaS, Automation, ARM, PowerShell.
CEs provide technical support including risk assessments and tuning to operate…",
Cloud Performance Engineer,SourceGain Consulting Pvt. Ltd.,,"Mentor engineers in the organisation.
Work closely with management, product owners, developers and quality engineers to understand product requirements,…",
"Cloud Platform Engineer
new",TransUnion,,What We'll Bring: TBD Recruiter / Hiring Manager What You'll Bring: TBD Recruiter / Hiring Manager Impact You'll Make: TBD Recruiter / Hiring Manager…,
"Cloud Security Engineer
new",Zones Corporate Solutions Pvt. Ltd,,O Assist in designing a security strategy for Zones customers and Zones engineers in a comprehensive cybersecurity architecture once the Pre-Sales engagement…,"₹14,00,000 a year"
RF Design Engineer,amdocs,,"Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to…",
"Senior Cloud Engineer
new",Unisys,,"Experience managing and leading migration to cloud projects;
Lead the implementation of migration plan to cloud platform;
At Unisys, we believe in better!",
"AWS Engineer
new",Ratna Global Tech,,"Automate the process using cloud formation or cli.
Ensure all EC2 are enabled with SSM role/install manually might be required.
EC2 Patching: 1 year (Required).","₹6,00,000 a year"
"Cloud Migration Engineer - II ( 49387)
new",Rackspace,,"5+ year working with cloud technologies.
Expertise in OS, networking and cloud architecture fundamentals.
Migrating an organizations data and applications into…",
NonFS_Cloud Engineer Senior Developer- Senior,Ernst & Young,,Associate Tech Lead or Senior Software Engineer in the IT Advisory Services team to be part of the delivery of Cloud Technology based projects for our customers…,
Cloud Operations Engineer (AWS),Synconext Technologies Pvt. Ltd.,,"As a cloud operation engineer you will be responsible for managing of the AWS hosted SaaS platform.
We are looking for operations engineer who wants to grow…","₹3,00,000 - ₹4,00,000 a year"
"Cyber Security Engineer
new",Cyber Chasse Inc,,"Experience evaluating threats/risk for various cloud-based applications including Office 365 and AWS, SAP, Documentation Management Systems, LIMS, cloud based…",
"Cloud Network Engineer
new",Frontdoor,,"O VPN connections on-prem to cloud providers and cloud provider to cloud provider.
O Ensure maximum uptime of cloud hosted environments.",
Cloud Engineer,Optiva,,"Manage Kubernetes deployments on the cloud.
Manage cloud implementation on Kubernetes on any cloud (GCP, Azure, AWS, etc.).
Provide Level 1 technical support.",
"Associate Engineer
new",Ericsson,,"As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark.
What´s in it for you?",
