Job_Title,Company,Location,Summary,Salary
"Sales Exec/Sales Representative, Business Development Execut...
new",Purbanchal Laminates Private Limited,,"Required Exp in Laminates,Plywood, retention of existing customers, Complete Sales Reporting-Delivering all sales, reports daily weekly and monthly basis,…","₹4,00,000 a year"
"Technical Sales Executive
new",Softintels,,"The executive will be required to: -.
Technical support executives are responsible for handling calls from new and existing customers from US regarding a…","₹1,20,000 - ₹3,60,000 a year"
Area Sales Executive for SIBSAGAR District,Kavach Networks Pvt Ltd,,"Location: All districts of Sibsagar, Assam.
Stipend: Based on the commission and incentive for the 1st 6 months, with the potential to earn more.","₹10,000 a month"
"Sales Executive
new",Jaipur Ratna,,"Develop & execute sales/marketing proposals.
Develop & Execute plans to maximize sales & revenue.
Preparing reports detailing sales activities and identifying…","₹20,000 - ₹25,000 a month"
"Field Sales Executive
new",Tecure Technology Pvt Ltd,,"The successful salesperson will source new sales opportunities and close sales to achieve goals.
We are looking for a competitive Field Sales Representative to…","₹1,00,000 - ₹5,00,000 a year"
"Executive - Corporate Cell
new",Apollo Hospitals,,Regular follow-up with corporate client’s local/out station by personnel visits / telephone calls / E mail’s / reminding letters regarding payments.,
"General Manager
new","Golden Leaves Convention Centre, Indore",,"Maximizing hotels revenue through innovative sales practices and yield management programs.
Oversee the operations functions of the hotel, as per the…","₹70,000 a month"
Sales Executive,Window Magic,,"Customer Service, Meeting Sales Goals, Closing Skills, Self-Confidence, Product Knowledge, Presentation Skills, Client Relationships, Excellent sales skills,…",
"Sales Executive
new",Sinod farmers producer company limited,,"Priority of Feed experienced guys.
Salary: ₹12,000.00 - ₹25,000.00 per month.
Total work: 1 year (Preferred).
Business Development: 1 year (Preferred).","₹12,000 - ₹25,000 a month"
"Sales Executive
new",AISWARYA PHARMA,,"Target sale of one machine is a must.
Exceptional sales skills is required.
Product sales incentives will be provided additionally for each product sales(…","₹25,000 - ₹1,00,000 a month"
"Sales Executive / Consultant
new",Tigris Solution India Private Limited,,"Ensure implementation and support to the client especially post-sale to ensure the renewal of the subscription.
Quick Learner with Impressive Personality.","₹8,000 - ₹40,000 a month"
Sr. Sales Executive,Vedaaz Organics,,"To be responsible for managing relationships with clients and generating sales in the concerned area to ensure sales growth.
Data management of generated leads.",
"Sales Executive, Distribution Sales
new",BD,,"O Execution of primary sales and sales collection.
Sales, sales forecasting and price implementation in the allocated territory.
Sales summary on monthly basis.",
"Sales Executive
new",Real Estate & Infrastructure,,"REQUIRED SALES EXECUTIVE FOR REAL ESTATE.
Salary: ₹15,000.00 - ₹20,000.00 per month.
Total work: 1 year (Preferred).
Business Development: 1 year (Preferred).","₹15,000 - ₹20,000 a month"
Sr. Executive – Sales and Operations (International Holidays...,FEEGO,,"Attending to customer queries through emails and phones calls.
Designing & Preparing Itineraries & Outbound Holiday packages for customers.",
Sales Executive – Retail Sales,OSWAL REALTY,,"Effectively acquiring sales periodically and monitoring sales.
Outstanding communication presentation and sales skills.",
"Sales Executive (Marketing)FMCG
new",Rajgharana Agro Food,,"Need a Sales Executive For our Company.
We are FMCG products manufacturer based in Lucknow need someone who have Experience in Sales and marketing.","₹10,000 - ₹20,000 a month"
"Sr Sales Executive
new",Rama Boards LLP,,"Sales Executive, Sr. sales executive, Sr marketing executive, Area Sales Executive, Sales Officer, field sales Officer, Sales Representatives.","₹20,000 - ₹30,000 a month"
"Sales Executive
new",AJC EDUTECH PRIVATE LIMITED,,"Prepare and submit weekly sales reports to management.
Contacting Students as they visit the website for Updates.
Salary: ₹300,000.00 - ₹400,000.00 per year.","₹3,00,000 - ₹4,00,000 a year"
Digital Sales & Account Executive,Dintellects Solutions Private Limited,,"Manage all aspects of building and maintaining client relationship/sales pipeline/funnel.
Identify potential prospects and initiate the sales process for…",
