Job_Title,Company,Location,Summary,Salary
Cyber Security Analyst,Linux solutions,,"We have an urgent requirement for cyber security analyst position.
Training also we are providing.
Training period is 5months and the training period salary…","₹15,000 - ₹25,000 a month"
"Junior Research Fellow (JRF)
new",PSG College of Technology,,"Applications are invited from suitable candidates for Junior Research Fellow (one position) to work on a project sponsored by DST -ICPS, New Delhi, Govt. of…","₹25,000 a month"
"Security
new",Myrealdata.,,"Lead incident response activities for all information security events, including data breaches and other cyber- attacks.
We provide the following services:",
Sr. Engineer - Cyber Security,Trane Technologies,,"Experience with system security vulnerability assessment and penetration testing for operational technology.
Aware of current security threats, techniques, and…",
Sr. Engineer - Cyber Security,Trane Technologies,,"Experience with system security vulnerability assessment and penetration testing for operational technology.
Aware of current security threats, techniques, and…",
Cyber Security Trainer/Curriculum Creator,WhizHack Technologies Pvt Ltd,,"Experience as an instructor/trainer including planning, scheduling, and delivering cyber security and related training programs and materials.","₹1,77,112 - ₹3,55,700 a year"
Director – Payment Data Security,Standard Chartered,,"Background in the information and cyber security domain within international financial services organisations.
Job: Business Support and Management.",
Manager - Cyber Security Services,Standard Chartered,,"The CSS team is made up of cyber security thought leaders, who are accountable for the provision of a global set of cyber security services and products in…",
"Cyber Security Expert
new",Stryker Corporation,,"Deep knowledge of Windows security guidelines.
Integrate automated security testing into all phases of SDLC.
Interface with customers including Hospital IT and…",
"Analyst, Information Security
new",Altisource,,"1 years experience of cloud security setup and implementation of security controls.
Thorough understanding of latest security principles, techniques and…",
CYBER SECURITY ANALYST,EssenVision Software,,"Inform management of security vulnerabilities.
Good To Have Skills: CCNA, CCNP, CEH, CISSP or any certification in cyber security.
Experience: 1 to 5 Years.",
Cyber Security Leader,General Electric,,"10 years of development and security experience which includes application security, mobile security, network security, OS security, Cloud Security, IoT…",
"Analyst, Cyber Security",Standard Chartered,,"The CSS team is made up of cyber security thought leaders, who are accountable for the provision of a global set of cyber security services and products in…",
Senior Cyber Security Analyst,ABB,,"Required 8-10 years of expertise in product development, cyber security project execution.
Should have sound experience background in cyber security threats and…",
Cyber Security Consultant,C Ahead Info Technologies India,,"Creating and implementing a strategy for the deployment of information security technologies.
Performing IT security risk assessments and reporting on ways to…",
Cyber Forensics Internship,Cybersafe,,"Identify additional systems/networks compromised by cyber attacks 3.
We provide advanced CTO/CISO level IT security consulting services for small, medium, and…","₹8,000 a month"
Cyber Ark Architect,Visionyle Solutions Private Limited,,"Job Title : Cyber Ark Architect.
Primary skills : * Access Management (PAM) Architecture (logical, physical, etc.).
Salary Budget : 12 LPA Max.","₹10,00,000 - ₹12,00,000 a year"
Manager Cyber Security,Toluna,,"Ability to work as individual contributor for various cyber security efforts.
You will also help develop organization wide best practices for cyber/cloud…",
Cyber Forensics Expert,Crypto Mize,,"Undergo security checks and vetting procedures.
Stay current in all areas of information technology concerning security breaches or malicious attacks.",
Scrum Master,9ine,"Pune, Maharashtra",A core part of our future growth is the development of an Enterprise Data System Web Application that will transform how schools manage their data privacy &…,"₹10,00,000 - ₹15,00,000 a year"
"Computer Trainer
new",Muskurahat Foundation,"Mumbai, Maharashtra","Able to cover other digital literacy aspects such as internet banking, cyber security, social networking, etc.
Extremely fluent in computer skills.","₹8,870 - ₹14,825 a month"
Technology Consulting_Cyber Security_NGSO - TEM_Senior,Ernst & Young,,"Understanding of network security and popular attacks vectors.
Execute red team assessments to highlight gaps impacting organizations security postures.",
Cyber Security Engineer,SourceGain Consulting Pvt. Ltd.,,"Design computer security architecture and develop detailed cyber security designs.
Identify threats and develop suitable defense measures, evaluate system…",
Cyber security Manager with Fundamental Computer Forensics S...,Law and Solutions,,"Candidate who has prior experience in dealing with cyber law or marketing for cyber securities will have top priority.*.
Direct and drive marketing growth.","₹12,00,000 a year"
"Security analyst
new",AI Engineer,,"Investigating security breaches and other cyber security incidents.
Strong knowledge of cyber security risks with the ability to discuss cyber security issues…","₹17,000 - ₹25,000 a month"
Cyber Security Analyst,Linux solutions,,"We have an urgent requirement for cyber security analyst position.
Training also we are providing.
Training period is 5months and the training period salary…","₹15,000 - ₹25,000 a month"
"Junior Research Fellow (JRF)
new",PSG College of Technology,,"Applications are invited from suitable candidates for Junior Research Fellow (one position) to work on a project sponsored by DST -ICPS, New Delhi, Govt. of…","₹25,000 a month"
"Security
new",Myrealdata.,,"Lead incident response activities for all information security events, including data breaches and other cyber- attacks.
We provide the following services:",
Sr. Engineer - Cyber Security,Trane Technologies,,"Experience with system security vulnerability assessment and penetration testing for operational technology.
Aware of current security threats, techniques, and…",
Cyber Security Trainer/Curriculum Creator,WhizHack Technologies Pvt Ltd,,"Experience as an instructor/trainer including planning, scheduling, and delivering cyber security and related training programs and materials.","₹1,77,112 - ₹3,55,700 a year"
Director – Payment Data Security,Standard Chartered,,"Background in the information and cyber security domain within international financial services organisations.
Job: Business Support and Management.",
Senior Consultant / Director | Forensic Technology,"FTI Consulting, Inc.","Mumbai, Maharashtra","Knowledge of TCP/IP Protocols, network analysis, and network/security applications.
Our Forensic Technology team in India works with corporations, governments…",
Senior consultant -ServiceNow Cyber_Hyderbad/Bengaluru/Gurga...,Deloitte,"Hyderabad, Telangana","Such as identity theft, data security breaches, data leakage, cyber security,.
A leading analyst firm, recently named Deloitte a global leader in cyber.",
"Security Analyst, Technology","DUFF AND PHELPS, LLC","Mumbai, Maharashtra","We are seeking candidates for a 24/7 security operations team.
Use SIEM technologies and other native tools to perform the monitoring of security events on a…",
"Information Security Engineer Analyst - SIR - Multiple Locat...
new",UnitedHealth Group,"Gurgaon, Haryana","Accomplish security related project goals identified via security events.
Provide security consultation to IT and business.
There's no room for error.",
Security Product Manager-3,PayPal,"Bengaluru, Karnataka","Represent PayPal security to external parties in building long-term roadmaps for external security products.
Experience working in cyber/tech startups - Strong…",
