Job_Title,Company,Location,Summary,Salary
"Business Development Executive (BDE)
new",Alpha Milkfoods Pvt. Ltd.,,"Generating leads, introducing new products development to clients, required for specially frozen products like fruits, veg., Paneer, cheese etc.","₹20,000 - ₹35,000 a month"
Business Development Executive,Docle Pte. Ltd.,,"Identify/Cold Call/Meet Key decision-makers (including CXOs) in partner org and establish effective business relationships.
Free Beer, Coffee, and Breakfast!","₹60,000 - ₹1,25,000 a month"
"Business Development Executive
new",Pro Marketer,,"Less than 2 years of sales experience, with a history of overachieving targets, in new business acquisition.
Our growth has led to a very an ambitious plan for…","₹15,00,000 - ₹25,00,000 a year"
"Business Development Executive
new",Brand Provoke Consultants,,"Comfortable with travelling and attending events & seminars around the globe for business development.
Selected candidates will initially report to the company…",
Business Development Executive - Freshers only,Skyrand Technologies,,"Proven working experience as a business development role, sales executive or a relevant role in the software industry.
Manage sales pipeline with a CRM.",
"Business Development Executive
new",Metro Pradhan Infrasolutions Private Limited,,"Client management skills Previous experience in construction companieswith knowledge of False ceiling & Facade..
Expected Start Date: 21/12/2020.","₹2,00,000 - ₹3,00,000 a month"
"Account Executive - Business Development
new",Toluna,,"The role presents an excellent growth path for candidates who are looking for new challenges in the sales role, are motivated to excel in building client…",
"Business Development Executive
new",tecHindustan Solutions,,"Bachelor’s Degree in any discipline, or equivalent work experience.
6 months to 1.5 years of relevant experience.
Fluent in verbal and written English.",
"LOOKING FOR BUSINESS DEVELOPMENT EXECUTIVE
new",Fourbrick Technology OPC Pvt. Ltd.,,"Selling products by establishing contact and developing relationships with prospects.
Maintain relationships with existing clients by providing support,…","₹11,137 - ₹37,777 a month"
Business Development Executive,Bigwig Ship Management Pvt. Ltd.,,"Generate repeat business from existing customers.
Meet potential customers and deliver appropriate presentation on products and services of the Company.","₹2,00,000 - ₹4,50,000 a year"
"Customer Executive
new",PepsiCo,,"Facilitating development of distributor on PepsiCo sales competencies.
He will be instrumental in resolving market challenges and ensuring incremental business.",
"Business Development Executive
new",SKY INFRA,,"REAL ESTATE DEVLOPER AND PROMOTERS.
Part-time hours: 30 per week.
Job Types: Full-time, Part-time, Walk-In.
Salary: ₹10,071.00 - ₹50,000.00 per month.","₹10,071 - ₹50,000 a month"
Business Development Executive,TOTAL PRODUCTIONS PVT LTD,,"For a reputed concert production company based in Bangalore.
1-3 years of sales experience will be an advantage!
Salary: ₹35,000.00 - ₹60,000.00 per month.","₹35,000 - ₹60,000 a month"
Business Development Executive,Ercess Inc.,,"Ready to pay higher to the right candidate.
Lead generation through multiple channels.
Cold-calling to domestic and/or international clients.","₹3,00,000 - ₹5,00,000 a year"
Business Development Executive,TOTAL PRODUCTIONS PVT LTD,,"For a reputed concert production company based in Bangalore.
1-3 years of sales experience will be an advantage!
Salary: ₹35,000.00 - ₹60,000.00 per month.","₹35,000 - ₹60,000 a month"
Business Development Executive,Ercess Inc.,,"Ready to pay higher to the right candidate.
Lead generation through multiple channels.
Cold-calling to domestic and/or international clients.","₹3,00,000 - ₹5,00,000 a year"
Business Development Executive,Toppr.com,,The primary role and responsibilities of a Business Development Executive include: Build contacts with potential clients to create new business…,"₹20,000 - ₹30,000 a month"
"Business Development Executive
new",Goldier Network Pvt Ltd,,We are looking for competitive and trustworthy Business Development to help us build up our business activities for our Media Barter company.,"₹1,000 a month"
Business Development Manager (BDM),Trainocate Networks India Pvt Ltd,,"Ability to build relationships and quickly develop trust with high-level executives.
Responsible for achieving all sales and revenue goals for growth accounts…","₹12,00,000 - ₹20,00,000 a year"
Business Development Executive,TIGI HR SOLUTION,,Candidates will be playing an instrumental role in aiding and assisting the decision making process of the young minds across the nation towards their academic…,"₹35,000 a month"
"Business Development Executive
new",3 GeoMETre Innovation Pvt Ltd,"Noida, Uttar Pradesh","To be successful as a Business Development Executive, you should have a growth mindset and a commitment to lifelong learning.
 Ability to work in high.","₹11,137 - ₹37,777 a month"
"Business Development Executive (BDE)
new",SkyLine India services,,"Urgent requirement For Boys & Girls.
Job Types: Full-time, Walk-In.
Salary: From ₹12,000.00-18,00per month + Incentive.
Job Types: Full-time, Walk-In.","₹12,000 - ₹18,000 a month"
"Business Development Executive
new",FieldEZ Technologies Pvt Ltd,,"Proficient with corporate productivity and web presentation tools for giving product demos.
Work closely with existing or new partners to build pipeline, close…","₹5,00,000 a year"
Business Development Executive,Kaizen Academy,,"Developing goals for the development team and business growth and ensuring they are met.
We are looking for hustlers who love to speaking to others & forming…","₹30,000 a month"
Business Development Executive,SourceFuse Technologies,,"You will autonomously build and manage a sales pipeline working towards specific goals.
Demonstrate an understanding of customer's critical business issues and…",
"Business Development Executive
new",Crystal testing service,,Must have the ability to create and manage strong influencing relationships for business to encourage repeat & long-term business.,"₹10,456 - ₹32,710 a month"
Business Development Executive,India Tax Info Pvt Ltd,,"A business development executive is responsible for researching and pursuing new business leads for the growth of the business.
Ability to work under pressure.","₹10,000 - ₹40,000 a month"
"Business Development Executive
new",GUVI GEEK NETWORK PRIVATE LIMITED,,"Contacting potential customers ( students & working professionals) to set up meetings, counsel the students on zen class and the GUVI's personalised learning…","₹20,000 - ₹40,000 a month"
"Business Development Executive
new",Toppscholars,,"Required Candidate - Should be having Min 1 year into field sales, direct sales, b2c sales.
Should be aggressive to complete the weekly/Monthly Targets.",
"Business Development Executive
new",Parity techno Solutions India LLP,,"Overseeing the development of marketing literature.
Communicating new product developments to prospective clients.
Minimum 1-year Experience required.","₹40,000 - ₹45,000 a month"
Business Development Executive (Online Bidding),Webstruction,,"Plan, develop and oversee the overall business development strategy.
\*\* Attractive incentives and commissions on achieving monthly targets.","₹10,000 - ₹25,000 a month"
"Business Development Executive (BDE)
new",Extramarks,,"We are Hiring an BUSINESS DEVELOPMENT EXECUTIVE.
Salary: 25,000 to 35,000( Deepends on your experience).
We sell Educational solution to the parents for their…","₹16,631 - ₹31,574 a month"
"Urgent Opening for Business Development Executive In A Leadi...
new",REALACHIEVERS PVT LTD,,"Must have excellent communication and presentation skills.
MBA from reputed institute is preferred.
Experience in B2B and B2C selling of Softwares (Internal and…","₹15,000 a month"
"Hiring for Business Development Executive
new",Firstcry.com,,"We are urgently hiring for Business Development Executive in Dhanbad.*.
Firstcry.com is Asia's largest online shopping portal for kids and baby products with…","₹15,000 - ₹20,000 a month"
Business Development Executive,Kongfu Books and Kbook,,"The executives would be expected to aid and fulfill the following duties:
Kongfu Books is a leading digital publishing app and we are looking to expand our…",
"Business Development Executive
new",JARO Education,,"Ctc- 2- 3.50 LPA + Incentive.
JARO Institute of Technology, Management and Research Pvt. Ltd.*.
Job Types: Full-time, Regular / Permanent.","₹12,794 - ₹27,197 a month"
"Business Development Executive
new",Codify Classes Dot Com,,"Coordinate & Work with the sales team and managers on issues concerning sales and customers.
Direct sales experience- minimum 1 year.","₹20,000 - ₹35,000 a month"
Sr. Business Development Executive,SISA Information Security,,"Proven track record in sales, business development and winning new business.
The goal is to drive sustainable financial growth through boosting sales and…","₹9,00,000 a year"
"Business Development Manager
new",HEADSTART GLOBAL,,"Opportunistically pursues additional business development opportunities within clients.
Maintain strong relationships with Microsoft channel team, partner…",
Business Development Executive,Ikf,,"As a business development representative you will be responsible for getting new clients onboard.
Furthermore, you will also be required to bring in business…",
"Business Development Executive
new",Rockers Technologies,,"Past experience to achieving sales.
Past experience to achieving sales.
Generating leads through various source like Bidding Portal, Social Media.","₹15,000 - ₹50,000 a month"
Business Development Executive - Hunting_MDR,SISA Information Security Pvt Ltd,,Effectively manages the existing accounts to ensure increasing business and is capable of giving online product demo and presenting SISA’s offering to client.,"₹30,000 - ₹70,000 a month"
Business Development Executive,Rao IIT Academy,,"Work From Home,Flexible Timing, specially in this lockdown women can manage home and work .
The more you give valuable time to work the more you earn.","₹10,236 - ₹36,356 a month"
"Bussiness Development Executive
new",MY CHHOTA SCHOOL PVT LTD,,"Make cold calls for new business leads.
Build contacts with potential clients to create new business opportunities.
Job Types: Full-time, Walk-In.","₹25,000 a month"
