Job_Title,Company,Location,Summary,Salary
"Consultant, Accountant, Project Associate, Block Coordinator...
new","Social Welfare Department, Assam",,"Date & venue of the interview through Email as mentioned in the Application Form.
Undersigned reserves the right to take decisions regarding the process of…",
"Senior Accountant
new",nash global overseas,,"Responsible for Maintaining Clients Accounts, Preparing Reports and Bills, Maintaining Sheets, Assist Team in Audit.
GST knowledge, Trained in Busy Software.","₹16,545 - ₹20,000 a month"
"Accountant
new",DXC Technology India,,Job Description : Job Description: Essential Job Functions * Leads and Support the month end processes * Review / approve journals and general ledger…,
Senior Accountant,Sri SCL Infratech Limited,,"Should have an idea about GST & TDS.
Should handle HR/Admin activities.
Experience into Construction field is an added advantage.
Job Types: Full-time, Walk-In.","₹30,000 - ₹35,000 a month"
"Accountant Cum Dispatch Manager
new",Burger Bae Clothing,,"Responsible for Stores activities e . g .
Will be responsible for the incoming material receipt, proper storage of material, material.","₹15,000 - ₹18,000 a month"
Senior Accountant,Sri Kumaran Super Market,,"Execute, monitor, maintain records & review the entire Key Accounts and follow up with all clients.
Reconciliation for Inter segmental accounts and Sales…","₹20,000 a month"
"Sr. Executive - Finance
new",CG Power Systems,,To look after the finance & account function of unit.,
"Junior Accountant
new",WSD Consultant,,"Provides Financial Information to Management By Researching and Analyzing Accounting Data; Preparing Reports.
Salary 1 Lac To 2 Lac P.A.","₹1,00,000 - ₹2,00,000 a year"
"accountant payable
new",Sankar Sealing Systems Pvt Ltd,,"Qualification : Bachelors or Master’s degree in commerce.
Experience : A minimum 4 years experience in Payables, bank payments and BRS. .","₹24,000 - ₹25,000 a month"
"accountant payable
new",Sankar Sealing Systems Pvt Ltd,,"Qualification : Bachelors or Master’s degree in commerce.
Experience : A minimum 4 years experience in Payables, bank payments and BRS. .","₹24,000 - ₹25,000 a month"
"Senior Accountant
new",Heritage Industries,,"We are looking for an experienced senior accountant who can help the management with monthly balance sheet, taxation, GST, cash flow statements, P/L statements,…","₹24,000 - ₹30,000 a month"
"Accountant
new",Talent Sense Global,,"Processing & Reconciling Bank statement and Credit card statement and comparing with past transactions for consistency.
Recording year end Journal entries.","₹4,00,000 - ₹6,00,000 a year"
"Sr. Accountant / Jr. Accountant
new",Squares N Spaces,,"Good knowledge in working Tally accounting package.
Keeping track of all payments and expenditure, purchase orders, invoices, statements (Accounts Payable).","₹15,000 - ₹45,000 a month"
"Accountant 4
new",Juniper Networks,,"We are seeking an enthusiastic accounting professional to be our Accountant 4 in the General Ledger Accounting team.
Key objectives for this position include:",
"Sr. Accountant
new",Krishna Electrovision Pvt Ltd,,"Verify, allocate, post and reconcile accounts payable and receivable.
Produce error-free accounting reports and present their results.","₹20,000 - ₹28,000 a month"
CHARTARED ACCOUNTANT,Adroit Group,,"Required Chartered Accountant for a Listed Company [ Turnover 100 Cr + ] in Udaipur ( Rajasthan ), Salary : 5 TO 10 LPA, www.adroitjobs.com, email : [email…","₹5,00,000 - ₹10,00,000 a year"
"Chartered Accountant : Ghaziabad
new",Ramon Lee,,"We are looking for fresher and immediate joiner Chartered Accountants.
Who are willing to work with the company for a longer tenure.","₹30,000 a month"
"Chartered Accountant
new",CLIENT OF JALANSH CONSULTANCY,,"RELEVANT EXPERIENCE 5-6 YEARS IN TAX PROFILE...
INCOME TAX,FEMA,MANGING AND ASSES,THE DIRECT TAX COMPLIANCE ON DELIVERABLES.
Application Deadline: 30/12/2020.","₹12,00,000 a year"
"Reporting Accountant Specialist
new",Kelly Services Internal,,The Reporting accountant will also provide support for statutory and tax compliance activities for the markets they are accountable and ensure that all R2R…,
"Assistant Accountant
new",Swipe Solutions & ICEICO TECHNOLOGIES PVT LTD,,"Qualification : 12th, any graduate, post graduate.
Interested candidate can call on: 9730739480.
Note: candidate call before visiting.","₹12,000 - ₹20,000 a month"
"Quickbooks Accountant | Bookkeeping
new",Place1India,,"Quickbooks Accountant Jobs in Ahmedabad, Gujarat.
Bookkeeping Accounting Job Vacancy in Ahmedabad.
Hiring for UK Quickbooks Accounts Executive in Ahmedabad.","₹30,000 a month"
Assistant Accountant,PHI Learning,,"Com Graduate candidates with strong computing skills specially in MS Excel, and good communication skills.
Facilitating internal payments (e.g., expense claims…",
"AP/Treasury Accountant
new",Smiths Detection,,"Minimum 6-7 years accounts payable experience or part qualified accountant.
The individual will be a key member of the Smiths Detection Global finance team.",
"Accounts Head/GM - Accounts, Accountant
new",Paradise Placement Consultancy,,Job Description : Job Description: * Excellent communication/presentation skills and ability to build relationships * Data preparing Annexure of Tax Audit like…,"₹3,60,000 a year"
"US Finance Support Executive (night Shift)
new",RWS Moravia,,"Excellent communication skills (Ability to converse with fund accountants to understand support needs).
We are looking for US Finance Support Professional for…","₹5,00,000 - ₹7,00,000 a year"
Finance Executive,SAGE Publications India Pvt. Ltd. Cookies Privacy...,,"Finance Executive role is part of the Global Services Finance Management Accounts team,.
Whose role is to support the US Finance team in promoting the success…",
Accountant,MBG Corporate Services,,"MBG Corporate Services is an independent and international organization which innovates and strategizes, to develop sustainable solutions with a professional…","₹25,000 - ₹30,000 a month"
Accountant for Construction Industry.,Vijaya Management Services,,"Must knowledge of ERP Highrise Software.
Salary 3 Lac To 5 Lac P.A.
Key Skills Tally GST Accountant Accounts Executive Accounts Assistant Finance Executive ERP…","₹3,00,000 - ₹5,00,000 a year"
Senior Accountant,Offers and Deals 365,,"Salary: * Depends on your performance at interview.
Should be able to prepare final accounts and financial statements.
Job Type: * On campus Job.","₹10,000 - ₹40,000 a month"
"ASSISTANT ACCOUNTANT FOR AN AUTOMOBILE SHOWROOM IN RANCHI, J...
new",TRUST US,,"A well established Two Wheeler dealer requires assistant accountant for its Ranchi branch.
The candidate should have minimum 1 year experience as junior…","₹15,000 - ₹18,000 a month"
"12th Pass Can Apply For Computer Operator Staff
new",Accounts Assistant and Computer Operator,,"Published on : 6 hours ago.
Understand the client requirement, review the source documents, update income transactions and enter the trade details.","₹17,000 - ₹22,500 a month"
Consultant,Deloitte,,"Audit is about much more than just the numbers.
It’s about attesting to accomplishments and challenges, and helping to assure strong foundations for future…",
"Accountant
new",HR Dynamics,,"Job opening for ""Senior and Junior Accountant"" - Mumbai.
We have opening for the both Positions.
Senior Accountant (M/F).
Junior Accountant cum Assistant (F).",
"Accountant
new",Edukosh Services Private Limited,,"To do all the accounts related activities in the office.
Expected Start Date: 4/1/2021.
Salary: ₹12,000.00 - ₹15,000.00 per month.","₹12,000 - ₹15,000 a month"
Senior Accountant,Whitefont Technologies,,"We are looking for experienced Accountant in our Company.
Job Location: Trichy/Chennai/Tirunelveli/Madurai/Karur/Salem.
Salary: From ₹25,000.00 per month.","₹25,000 a month"
Sr. Accountant,HGK Corp,,"Ensure business transactions are reported in accordance with generally accepted accounting principles.
Work closely with team members to assist with month-end…","₹35,000 - ₹45,000 a month"
Accountant,RISHABH MOTORS,,"Responsible for managing Dealer Finance & Cash Rotation.
Skills Required: Finance , Accounting Balance sheet Knowledge.
Pay: ₹18,937.00 - ₹45,385.00 per month.","₹18,937 - ₹45,385 a month"
Accountant,LCEPL,,"We are looking for an Accountant to manage all financial transactions, from fixed payments and variable expenses to bank deposits and budgets.",
"Senior Accountant
new",RC Technocrats,,"We are looking for Senior Accountant for Pune location having,.
\* Commerce Graduate with MIS & Tally is Mandatory,.
\* Salary - 7 to 8.4 LPA.","₹50,000 a month"
